#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"What's The Time Where You Are?","Troye Sivan",62,112,"","Something To Give Each Other",2023-10-13,03:23,72,82,3,0,34,0,10,-7,G Major,4,2024-12-07,0sYM4OmgrRYaHq6DV7obq1,9B,AUUM72300178
2,"Cold Cold Man","Saint Motel",65,111,"","My Type EP",2014-08-16,03:50,61,66,1,0,51,0,10,-5,A Major,4,2024-12-07,6RKGBcDtgzXx21zUjpeu6F,11B,GBAYE1400934
3,"Genghis Khan","Miike Snow",62,94,"alternative dance","iii",2016-03-04,03:32,69,85,4,0,45,0,60,-3,A#/B♭ Minor,4,2024-12-07,6MDijuuArPJv1vbp7K1x3f,3A,USAT21503728
4,"YA YA","Beyoncé",69,152,"","COWBOY CARTER",2024-03-29,04:34,62,90,32,0,76,30,50,-5,B Major,4,2024-12-07,0K9tfzrxJyCQIf7oAlPwaK,1B,USSM12402721
5,"Super Graphic Ultra Modern Girl","Chappell Roan",74,126,"","The Rise and Fall of a Midwest Princess",2023-09-22,03:03,65,91,3,0,79,0,20,-5,C♯/D♭ Major,4,2024-12-07,1rNSCrsOoWyhKH4g47mehU,3B,USUG12305910
6,"One Of Your Girls","Troye Sivan",76,93,"","Something To Give Each Other",2023-10-13,03:01,64,65,10,0,80,0,20,-8,B Minor,4,2024-12-04,5Eh1nj7IjV9lwpcKAkidyY,10A,AUUM72300179
7,"Boys","Lizzo",63,120,"","Cuz I Love You (Super Deluxe)",2019-04-17,02:52,89,59,0,0,75,10,0,-4,C♯/D♭ Minor,4,2024-12-04,1du4tPkvJfCIuVL6WMtqSs,12A,USAT21802921
8,"Guess featuring billie eilish","Charli xcx,Billie Eilish",86,130,"hyperpop, art pop, ","Brat and it’s completely different but also still brat",2024-10-11,02:23,78,71,2,21,62,0,10,-4,C Major,4,2024-12-04,0IsIY8pfu1yaGkPUD7pkDx,8B,USAT22406808
9,"Save a Horse (Ride a Cowboy)","Big & Rich",71,102,"country","Horse of a Different Color",2004-04-20,03:20,70,90,11,0,82,10,40,-2,D Major,4,2024-12-04,5s7m2xNZWgz5FqVSIvJcGA,10B,USWB10302758
10,"Man! I Feel Like A Woman!","Shania Twain",73,125,"country","Come On Over",1997-11-04,03:54,68,64,58,0,67,0,20,-8,A#/B♭ Major,4,2024-12-04,6sxptembJVty4sNtcPMAVz,6B,USMR19887508
11,"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys",62,108,"","Backstreet Boys",1996-00-00,04:47,79,81,1,0,51,0,20,-5,A#/B♭ Minor,4,2024-12-04,5WTxbyWTpoqhdxEN2szOnl,3A,USJI19710084
12,"MONTERO (Call Me By Your Name)","Lil Nas X",71,179,"","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2024-12-04,67BtfxlNbhBmCDR2L2l8qd,1A,USSM12100531
13,"TiK ToK","Kesha",86,120,"","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D Minor,4,2024-12-07,0HPD5WQqrq7wPWR7P7Dw1i,7A,USRC10900433
14,"Femininomenon","Chappell Roan",82,125,"","The Rise and Fall of a Midwest Princess",2023-09-22,03:39,61,76,14,0,24,0,10,-5,C Minor,4,2024-12-04,53IRnAWx13PYmoVYtemUBS,5A,USUG12302738
15,"Talk Dirty (feat. 2 Chainz)","Jason Derulo,2 Chainz",70,100,"southern hip hop, rap","Talk Dirty",2013-09-10,02:57,76,65,3,0,76,20,30,-7,F#/G♭ Major,4,2024-12-07,6g6A7qNhTfUgOSH7ROOxTD,2B,USWB11302648
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",73,96,"pop, reggaeton, trap latino, latin, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2024-12-07,4w8niZpiMy6qz1mntFA5uM,1A,USUG11801723
17,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",73,74,"r&b, ","Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,04:02,84,60,2,0,33,10,30,-5,C♯/D♭ Major,4,2024-12-07,4AYX69oFP3UOS1CFmV9UfO,3B,USAT21001515
18,"Rush","Troye Sivan",80,126,"","Something To Give Each Other",2023-10-13,02:36,73,84,0,0,40,0,10,-8,A#/B♭ Minor,4,2024-12-04,4ZnkygoWLzcGbQYCm3lkae,3A,AUUM72300170
