#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"All Day Ocean","Ghost Hotel",0,130,"art rock","Do You Feel It",2012-09-18,04:06,62,68,1,29,47,0,20,-7,C Minor,4,2023-02-10,4BWn76Ji1ubTMRhqIPq9LU,5A,ushm91201557
2,"Walking On Sunshine","Aly & AJ",49,109,"","Into The Rush",2005-01-01,03:53,65,96,1,0,94,0,0,-3,A Major,4,2023-02-11,09BvvHet0SXvdZKAyUzIWk,11B,USHR10521599
3,"LA Hallucinations","Carly Rae Jepsen",0,90,"","Emotion",2015-08-21,03:04,72,73,1,0,68,0,0,-4,G#/A♭ Major,4,2023-02-11,2GhDJBQUsvU8YxNrV4KQfS,4B,USUM71507032
4,"Hazey","Glass Animals",54,90,"","ZABA",2014-06-03,04:25,65,50,0,1,40,0,10,-11,C♯/D♭ Major,4,2023-02-11,0Zg4tjgfqw9qzq7lXX2sUM,3B,GB2DY1400013
5,"Escape (The Pina Colada Song)","Rupert Holmes",77,139,"","Partners In Crime",1979-01-01,04:36,84,51,47,0,95,0,0,-14,C Major,4,2023-02-11,5IMtdHjJ1OtkxbGe4zfUxQ,8B,USMC17948997
6,"Stop Making This Hurt","Bleachers",50,109,"","Take the Sadness Out of Saturday Night",2021-07-30,03:19,67,89,4,0,83,0,20,-5,C Major,4,2023-02-11,7fRCD4vVNpCy91Y3zxNMUl,8B,USRC12100106
7,"Heat Waves","Glass Animals",87,81,"","Dreamland",2020-08-07,03:58,76,53,44,0,53,0,0,-7,B Major,4,2023-02-11,3USxtqRwSYz57Ewm6wWRMp,1B,GBUM72000433
8,"Sea Sick","binki",0,112,"","Sea Sick",2019-09-05,02:10,82,58,12,0,93,0,10,-9,F#/G♭ Minor,4,2023-02-11,3jLHo30ucbkYY9P7v8leKh,11A,QZ93L1954287
9,"DONT WANT IT","Lil Nas X",55,83,"","MONTERO",2021-09-17,02:10,55,70,12,0,21,0,10,-6,E Minor,4,2023-02-11,4vsJWPwWPS27gRM4oLjBNO,9A,USSM12105741
10,"Sabotage","Beastie Boys",75,168,"rap rock, east coast hip hop, hip hop","Ill Communication",1994-05-23,02:58,32,94,3,3,54,10,10,-7,F#/G♭ Minor,4,2023-02-11,0Puj4YlTm6xNzDDADXHMI9,11A,USCA29400020
11,"Beggin'","Måneskin",85,134,"","Chosen",2017-12-08,03:31,71,80,13,0,59,0,30,-5,B Minor,4,2023-02-08,3Wrjm47oTz2sjIgck11l5e,10A,ITB001700846
