#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Tokyo Drifting","Glass Animals,Denzel Curry",64,129,"punk rap","Dreamland",2020-08-07,03:36,72,44,12,0,42,0,10,-10,G#/A♭ Minor,4,2023-03-30,2MA6YoaFF7fnWqkuOAWjUg,1A,GBUM71905642
2,"DONT WANT IT","Lil Nas X",55,83,"","MONTERO",2021-09-17,02:10,55,70,12,0,21,0,10,-6,E Minor,4,2023-05-06,4vsJWPwWPS27gRM4oLjBNO,9A,USSM12105741
3,"Suffragette City - 2012 Remaster","David Bowie",60,143,"glam rock, art rock","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)",1972-06-06,03:28,46,88,37,0,78,0,20,-9,D Major,4,2023-03-30,3YZa4IzxK2UtEKTvdTgsi8,10B,USJT11200010
4,"Save a Horse (Ride a Cowboy)","Big & Rich",71,102,"country","Horse of a Different Color",2004-04-20,03:20,70,90,11,0,82,10,40,-2,D Major,4,2023-05-06,5s7m2xNZWgz5FqVSIvJcGA,10B,USWB10302758
5,"Careless Whisper","George Michael",21,153,"","Ladies And Gentlemen... The Best Of George Michael",1998-11-09,05:00,57,63,13,0,80,0,20,-9,D Minor,4,2023-03-30,4jDmJ51x1o9NZB5Nxxc7gY,7A,GBBBM8402006
6,"Tom Sawyer","Rush",72,88,"progressive rock, classic rock, rock, hard rock, album rock","Moving Pictures (2011 Remaster)",1981-02-12,04:36,54,90,0,2,67,0,0,-7,A Major,4,2023-03-30,3QZ7uX97s82HFYSmQUAN1D,11B,USMR18180103
7,"Man! I Feel Like A Woman!","Shania Twain",73,125,"country","Come On Over",1997-11-04,03:54,68,64,58,0,67,0,20,-8,A#/B♭ Major,4,2023-05-06,6sxptembJVty4sNtcPMAVz,6B,USMR19887508
8,"Cold Cold Man","Saint Motel",65,111,"","My Type EP",2014-08-16,03:50,61,66,1,0,51,0,10,-5,A Major,4,2023-03-30,6RKGBcDtgzXx21zUjpeu6F,11B,GBAYE1400934
9,"X Gon' Give It To Ya","DMX",73,95,"east coast hip hop, hardcore hip hop","The Definition Of X: Pick Of The Litter",2007-06-12,03:37,76,90,1,0,67,10,0,-3,A#/B♭ Minor,4,2023-03-30,1zzxoZVylsna2BQB65Ppcb,3A,USDJ20201342
10,"Candy Shop","50 Cent,Olivia",81,125,"east coast hip hop, ","The Massacre",2005-03-03,03:29,61,57,3,0,76,40,30,-8,B Major,5,2023-05-06,5D2mYZuzcgjpchVY1pmTPh,1B,USIR10500072
11,"Boys","Lizzo",63,120,"","Cuz I Love You (Super Deluxe)",2019-04-17,02:52,89,59,0,0,75,10,0,-4,C♯/D♭ Minor,4,2023-05-06,1du4tPkvJfCIuVL6WMtqSs,12A,USAT21802921
12,"Beggin'","Måneskin",85,134,"","Chosen",2017-12-08,03:31,71,80,13,0,59,0,30,-5,B Minor,4,2023-05-06,3Wrjm47oTz2sjIgck11l5e,10A,ITB001700846
13,"First","Cold War Kids",5,78,"modern rock","Hold My Home",2014-10-21,03:20,47,69,2,0,56,0,50,-4,D Major,4,2023-03-30,0aGSUNleFqs5HNEJcwqvXJ,10B,USCJ81401258
14,"Genghis Khan","Miike Snow",62,94,"alternative dance","iii",2016-03-04,03:32,69,85,4,0,45,0,60,-3,A#/B♭ Minor,4,2023-03-30,6MDijuuArPJv1vbp7K1x3f,3A,USAT21503728
15,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",73,74,"r&b, ","Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,04:02,84,60,2,0,33,10,30,-5,C♯/D♭ Major,4,2023-04-02,4AYX69oFP3UOS1CFmV9UfO,3B,USAT21001515
16,"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys",62,108,"","Backstreet Boys",1996-00-00,04:47,79,81,1,0,51,0,20,-5,A#/B♭ Minor,4,2023-03-30,5WTxbyWTpoqhdxEN2szOnl,3A,USJI19710084
17,"Danza Kuduro","Don Omar,Lucenzo",0,130,"reggaeton, urbano latino","Danza Kuduro",2010-01-01,03:19,70,91,8,0,89,0,0,-5,C Major,4,2023-05-06,5XSZ8onipRr35H0wpWWsW3,8B,USUM71020778
18,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",82,120,"","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2023-05-06,3vkQ5DAB1qQMYO4Mr9zJN6,6B,SEAYD7901120
19,"MONTERO (Call Me By Your Name)","Lil Nas X",71,179,"","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2023-05-06,67BtfxlNbhBmCDR2L2l8qd,1A,USSM12100531
20,"Gasolina","Daddy Yankee",8,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,86,80,33,0,75,0,0,-6,C Major,4,2023-03-30,6jEZLz3YpnEBRpVkv35AmP,8B,QM6N21759342
21,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",1,119,"","Whitney",1987-06-02,04:51,71,82,21,0,87,0,0,-9,C♯/D♭ Major,4,2023-05-06,2k1np6GRFvKjgjYfo2g39B,3B,USAR18700121
