#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Take A Slice","Glass Animals",73,152,"","How To Be A Human Being",2016-08-26,03:49,62,66,2,0,63,10,20,-7,A Major,4,2022-11-05,37adYGaYaAWTGhBaOzX4Fh,11B,GB2DY1600027
2,"Bad Checks","Houses",0,150,"chillwave","Drugstore Heaven",2021-04-02,03:19,63,85,3,1,82,0,10,-6,F Major,4,2022-11-05,41FavXsjEMgw7ENuCCIUbP,7B,GBKPL1965107
3,"Vogue","Madonna",70,116,"","Celebration (double disc version)",2009-09-18,05:16,74,88,0,0,33,0,40,-6,F#/G♭ Major,4,2022-11-05,27QvYgBk0CHOVHthWnkuWt,2B,USWB10903600
4,"Bitter Sweet Symphony - Remastered 2016","The Verve",84,171,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,05:57,36,92,3,0,52,0,40,-6,A Major,4,2022-11-05,57iDDD9N9tTWe75x6qhStw,11B,GBUM71601816
5,"American Boy","Estelle,Kanye West",7,118,"rap","Shine",2008-03-28,04:44,73,73,17,0,51,30,0,-3,C Major,4,2022-11-03,22UDw8rSfLbUsaAGTXQ4Z8,8B,USAT20706210
6,"ROXANNE","Arizona Zervas",75,117,"","ROXANNE",2019-10-10,02:43,62,60,5,0,46,10,40,-6,F#/G♭ Minor,5,2022-11-05,696DnlkuDOXcMAnKlTgXXK,11A,USSM11914320
7,"Money, Money, Money","ABBA",67,120,"","ABBA Gold",2008-01-01,03:06,76,74,43,0,69,0,0,-6,A Minor,4,2022-10-19,29FNeqjOV2kPWGS55qhtGB,8A,SEAYD7601060
8,"My Type","Saint Motel",70,118,"","My Type EP",2014-08-16,03:24,60,90,6,0,57,0,0,-3,A#/B♭ Major,4,2022-11-05,2Iq6HhIquO7JKr0KfTNLzU,6B,GBAYE1400856
9,"Immaterial","SOPHIE",0,140,"hyperpop, art pop, experimental","OIL OF EVERY PEARL'S UN-INSIDES",2018-06-15,03:52,78,72,12,1,83,0,30,-5,D Major,4,2022-11-03,6GoLARmR2OZl2EldehFrsA,10B,AUFF01800039
10,"Paparazzi","Lady Gaga",75,115,"art pop, pop","The Fame",2008-01-01,03:28,76,69,11,0,40,0,0,-4,F Minor,4,2022-10-19,7Hqig8kp32q2Ire3ECQvWM,4A,USUM70824408
11,"DONT WANT IT","Lil Nas X",55,83,"","MONTERO",2021-09-17,02:10,55,70,12,0,21,0,10,-6,E Minor,4,2022-11-05,4vsJWPwWPS27gRM4oLjBNO,9A,USSM12105741
12,"Gold Trans Am","Kesha",0,166,"","Warrior (Deluxe Version)",2012-11-30,03:20,52,86,5,0,56,10,30,-4,A Major,4,2022-11-05,26yuwvp6GMTvo7zEO3eUGC,11B,USRC11201146
13,"Bailamos","Enrique Iglesias",57,100,"latin pop, latin","Enrique",1999-11-23,03:34,63,89,5,0,59,0,10,-5,A Minor,4,2022-11-05,2bbeNsFmjZqdoDhjLsKNWe,8A,USIR19915208
