#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Sing, Sing, Sing","John Williams,Boston Pops Orchestra",17,115,"soundtrack, orchestra","Swing, Swing, Swing",1985-00-00,03:59,42,72,68,60,10,0,0,-16,F Major,4,2024-02-10,07GTP0m6rTaClLJWWNkADG,7B,NLA508400407
2,"Run Llama Run - From  The Emperor's New Groove /Score","John Debney",37,110,"","The Emperor's New Groove (Original Motion Picture Soundtrack)",2000-11-14,02:24,65,45,9,63,75,0,0,-12,C♯/D♭ Major,4,2024-02-09,0is3TXic9WVC1IONbQnl9b,3B,USWD10321961
3,"Lipstick Lover","Janelle Monáe",41,170,"alternative r&b","The Age of Pleasure",2023-06-08,02:49,59,43,31,0,66,10,20,-8,F#/G♭ Minor,4,2024-02-09,5c2jJgsGsnYWB6QdkK1ycR,11A,USAT22306295
4,"Birdland","Maynard Ferguson",41,167,"big band, jazz","Carnival",1978-11-09,05:38,62,69,1,85,89,0,0,-13,F Major,4,2024-02-09,5riSr1LFW4Bv7JzMNwIc9C,7B,USSM10202123
5,"Quizás, Quizás, Quizás","Celia Cruz",49,110,"salsa, son cubano, bolero, cha cha cha, merengue, mambo, latin, latin dance","Boleros",1993-11-02,02:30,63,33,88,0,81,0,10,-11,A Minor,4,2024-02-09,7FES7rrRiopj1YLqIUyyGO,8A,US78T0504193
6,"Jump in the Line","Harry Belafonte",67,116,"calypso","Jump Up Calypso",1961-07-21,03:41,59,89,77,0,80,20,10,-8,F Major,4,2024-02-09,1zW2csx1vVJrKfvDrFQNVt,7B,USRC16607550
7,"In the Mood","Glenn Miller",50,81,"big band, swing music, jazz","Ultimate Big Band Collection: Glenn Miller",1939-00-00,03:36,62,30,93,17,87,0,0,-14,G#/A♭ Major,4,2024-02-09,1xsY8IFXUrxeet1Fcmk4oC,4B,USBB10200858
8,"Sir Duke","Stevie Wonder",74,107,"motown, soul","Songs In The Key Of Life",1976-09-28,03:52,59,57,16,0,95,0,0,-10,F#/G♭ Major,4,2024-02-09,4pNiE4LCVV74vfIBaUHm1b,2B,USMO17600526
9,"Float (feat. Seun Kuti & Egypt 80)","Janelle Monáe,Seun Kuti,Egypt 80",43,126,"alternative r&b, afrobeat, latin afrobeat","Float (feat. Seun Kuti & Egypt 80)",2023-02-16,04:02,78,50,21,0,34,10,80,-5,F Minor,4,2024-02-09,2JIY6nN5kkkfNz0TckPqYu,4A,USAT22222009
10,"Hold The Line","Musikkapelle Brixen im Thale & Milestone",19,150,"","Blasmusik Goes Rock",2014-07-25,03:21,62,84,45,0,93,0,0,-5,F Minor,3,2024-02-09,3QRYALJbCY9kQN3U4j9lru,4A,ATT251406830
11,"Sweet Caroline","Mambo Beach Band",0,173,"","Pimp It Up",2016-12-14,02:11,52,70,77,91,87,0,80,-9,G#/A♭ Major,4,2024-02-09,1E1nJe2xVqs10nkrxC9TRP,4B,NLD710601040
12,"It Don't Mean a Thing","Tim Zimmerman and the King's Brass",0,116,"big band","American Mood",2009-11-10,03:43,80,37,84,92,42,0,10,-11,G Minor,4,2024-02-09,5EomW32WnNLX2bdY3HrMq2,6A,US9930910434
13,"Flight of the Foo Birds","Count Basie",41,96,"big band, swing music, jazz","The Atomic Mr Basie",1958-00-00,03:24,62,54,66,6,81,0,20,-9,C Major,4,2024-02-09,2MZBVXviBSBenB8AnmsMXi,8B,GBAYE5800366
