#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Lipstick Lover","Janelle Monáe",41,170,"alternative r&b","The Age of Pleasure",2023-06-08,02:49,59,43,31,0,66,10,20,-8,F#/G♭ Minor,4,2025-03-02,5c2jJgsGsnYWB6QdkK1ycR,11A,USAT22306295
2,"Canción Urgente para Nicaragua","Silvio Rodríguez",27,105,"trova, nueva trova, singer-songwriter, latin folk","Unicornio",1982-01-01,02:58,70,43,63,0,96,0,0,-13,E Major,4,2025-03-02,3yfnfYDFVoFKpD7H24cV2E,12B,ESAAI0205353
3,"Perfume","The Dare",53,125,"electroclash","What's Wrong With New York?",2024-09-06,02:27,69,91,1,0,60,0,20,-4,A Major,4,2025-03-02,1KZbyrBgUnTRBK0SLXVV0m,11B,USUG12403682
4,"CAFé CON RON","Bad Bunny,Los Pleneros de la Cresta",86,96,"reggaeton, trap latino, latin, urbano latino, ","DeBÍ TiRAR MáS FOToS",2025-01-05,03:48,33,15,15,0,4,0,40,-27,A Major,4,2025-03-02,6VNXmo59yDYgcwLS17UNAW,11B,QMFMF2447066
5,"Naked In Manhattan","Chappell Roan",79,118,"","The Rise and Fall of a Midwest Princess",2023-09-22,03:31,77,70,8,0,55,0,0,-5,C♯/D♭ Major,4,2025-03-02,4LKYOetuIF5c9XjeLBL9av,3B,QM24S2200264
6,"Slumber Party (feat. Princess Nokia)","Ashnikko,Princess Nokia",74,105,"","DEMIDEVIL",2021-01-15,02:58,96,40,0,0,56,0,10,-9,B Minor,4,2025-03-02,11ZulcYY4lowvcQm4oe3VJ,10A,GBAYE2000706
7,"Proud Mary","Tina Turner",69,171,"","What's Love Got to Do with It?",1993-00-00,05:27,40,50,8,0,37,0,10,-11,D Major,4,2025-03-02,6gJdDnF2TzfA1WPMXuCa3x,10B,GBAYE9300862
8,"My Type","Saint Motel",70,118,"","My Type EP",2014-08-16,03:24,60,90,6,0,57,0,0,-3,A#/B♭ Major,4,2025-03-02,2Iq6HhIquO7JKr0KfTNLzU,6B,GBAYE1400856
9,"Rush","Troye Sivan",80,126,"","Something To Give Each Other",2023-10-13,02:36,73,84,0,0,40,0,10,-8,A#/B♭ Minor,4,2025-03-02,4ZnkygoWLzcGbQYCm3lkae,3A,AUUM72300170
10,"Float (feat. Seun Kuti & Egypt 80)","Janelle Monáe,Seun Kuti,Egypt 80",43,126,"alternative r&b, afrobeat, latin afrobeat","Float (feat. Seun Kuti & Egypt 80)",2023-02-16,04:02,78,50,21,0,34,10,80,-5,F Minor,4,2025-03-02,2JIY6nN5kkkfNz0TckPqYu,4A,USAT22222009
11,"NUEVAYoL","Bad Bunny",94,138,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,03:03,14,20,27,100,12,10,20,-20,F#/G♭ Major,4,2025-03-02,5TFD2bmFKGhoCRbX61nXY5,2B,QMFMF2447055
12,"Hallelujah","Panic! At The Disco",57,80,"emo","Death of a Bachelor",2016-01-15,03:00,58,89,1,0,62,0,10,-4,B Major,4,2025-03-02,6TzJLISIitIzn1WtjDY0Op,1B,USAT21501131
13,"I Like It","Cardi B,Bad Bunny,J Balvin",78,136,"reggaeton, trap latino, latin, urbano latino","Invasion of Privacy",2018-04-06,04:13,82,73,10,0,65,10,30,-4,F Minor,4,2025-03-02,58q2HKrzhC3ozto2nDdN4z,4A,USAT21801431
