#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Peer Gynt, Op. 23: IV. In the Hall of the Mountain King","Edvard Grieg,Andrew Davis,Philharmonia Orchestra",51,119,"classical, orchestra, choral, opera","Fright Night: Music That Goes Bump in the Night",1961-00-00,02:24,44,22,93,94,57,0,10,-18,G Major,4,2023-10-21,5zhuWncJsBKrQ1HhmAKNAg,9B,USSM19913397
2,"Grace Kelly","MIKA",61,122,"","Life in Cartoon Motion",2007-02-05,03:07,67,82,2,1,69,0,30,-6,C Major,4,2023-10-21,7dzUZec5MnWMyQnk5klnKR,8B,USC7R0600006
3,"Spooky Ho","Danny Gonzalez",32,83,"","Spooky Ho",2019-10-14,02:13,77,69,36,0,42,10,10,-7,C♯/D♭ Major,4,2023-10-20,5yIXuoyCS6vDTqXa2CGaSh,3B,QZHN71982447
4,"Jolene","Dolly Parton",74,111,"country","Jolene (Expanded Edition)",1974-00-00,02:41,67,54,57,0,81,0,10,-11,C♯/D♭ Minor,4,2023-10-21,5fdhThPDe6jQQDqCyWrdAn,12A,USRN19600096
5,"La Camisa Negra","Juanes",75,97,"latin pop, colombian pop, rock en español","Mi Sangre",2004-01-01,03:36,75,73,8,0,97,0,0,-4,F#/G♭ Minor,4,2023-10-21,2EM9zpAc7PVeoAydmbfVIL,11A,USUL10400965
6,"Ghostbusters","Ray Parker Jr.",65,116,"","Ghostbusters (Original Motion Picture Soundtrack) [2016]",2016-07-15,04:05,79,85,1,0,74,0,20,-5,E Major,4,2023-10-21,3m0y8qLoznUYi73SUBP8GI,12B,QZ4KE1600002
7,"Under My Skin","Jukebox The Ghost",58,150,"","Let Live & Let Ghosts",2008-04-22,03:19,63,63,59,0,79,0,0,-10,G Major,4,2023-10-21,0EBBt2OSiGanyjPMcU5UBW,9B,USEF70600140
8,"I Have A Dream - From 'Mamma Mia!' Original Motion Picture Soundtrack","Amanda Seyfried",62,205,"musicals","Mamma Mia! The Movie Soundtrack",2008-01-01,04:22,29,42,80,0,47,0,20,-7,C Major,4,2023-10-21,77bIDfQElFrLQjp2ZdTaam,8B,GBUM70809708
9,"(Ghost) Riders in the Sky","Johnny Cash",66,110,"country","Silver",1979-05-01,03:44,57,67,36,4,56,0,20,-9,A#/B♭ Minor,4,2023-10-21,3I1vEQhGwRK7URrTq4BqNl,3A,USSM17900687
10,"Run Away With Me","Carly Rae Jepsen",1,119,"","Emotion",2015-08-21,04:11,56,72,1,0,25,0,0,-6,C♯/D♭ Major,4,2023-10-21,5e0vgBWfwToyphURwynSXa,3B,USUM71507009
11,"So Hot You're Hurting My Feelings","Caroline Polachek",66,112,"art pop","Pang",2019-10-18,03:03,80,58,8,0,85,0,10,-5,F#/G♭ Major,4,2023-10-21,5B6Kjha6RRIMWGN7zGsAaT,2B,USSM11902945
12,"Feel It Still","Portugal. The Man",82,79,"","Woodstock",2017-06-16,02:43,80,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,2023-10-20,6QgjcU0zLnzq5OrUoSZ3OK,12A,USAT21700437
13,"Main Theme: The Addams Family - Vocal Version","Vic Mizzy and His Orchestra and Chorus",30,121,"","The Addams Family (Original Music From The T.V. Show)",1991-11-12,00:53,79,56,78,0,88,50,20,-9,F Major,4,2023-10-21,00oHVAstyM08Q82e2XYvkS,7B,USRC19101980
